ID;Text;Username;Name;Language;Created at;Actor/actress name
1404437773013045256;"RT @Showbiz_IT: From #PrakashRaj to #SamyuktaHornad, celebs pay tribute to Kannada actor #SanchariVijay

https://t.co/YbmXtltY0m";IndiaToday;IndiaToday;en;2021-06-14 13:57:12;Prakash Raj
1404436229475627020;"From #PrakashRaj to #SamyuktaHornad, celebs pay tribute to Kannada actor #SanchariVijay

https://t.co/YbmXtltY0m";Showbiz_IT;India Today Showbiz;en;2021-06-14 13:51:04;Prakash Raj
1404409607619899394;Watch the whole film. Who is prakash Raj? What religion he is potrayed? https://t.co/ig5TWPYwVs;TeluguTrad;Hindu;en;2021-06-14 12:05:17;Prakash Raj
1404392178936254471;"RT @chitravaani: Cinematic parallels : 

Same prakash raj
Friend son
Hyd job
Heroine engaged
After Love https://t.co/V9BzoBESFc";Thor__007;Thor ⚡;en;2021-06-14 10:56:02;Prakash Raj
1404376829784330242;@ilakatamafiliya Marchipoyi eeda esava leka lyt aa prakash Raj jalsa shirtless scene laga;Highonfilmss;J.;et;2021-06-14 09:55:02;Prakash Raj
1403732039149318150;@SouravT07686602 Soumitra Chatterjee movies;bidishapsgs;Bidisha Banerjee;et;2021-06-12 15:12:52;Soumitra Chatterjee
1403713430058504195;@bidishapsgs I like soumitra chatterjee more;granny_1857;🦀;en;2021-06-12 13:58:56;Soumitra Chatterjee
1403657932999254024;"RT @VisionHistory: This rare picture captures 4 legends of Indian cinema Soumitra Chatterjee, Uttam Kumar, Hemanta Mukherjee &amp; Satyajit Ray…";VisionHistory;Ancient History;en;2021-06-12 10:18:24;Soumitra Chatterjee
1403408704477700097;"@kaykaymenon02  we want to see you as Feluda...
@NetflixIndia make some plans...
This actor resembles the most clos… https://t.co/UmAb0J4jYh";is_souptik;Souptik Dirghangi;en;2021-06-11 17:48:03;Soumitra Chatterjee
1403355956843487233;@From_Himalaya @Vasavadatta16 Pathare is a Marathi Surname. His father is a big fan of Soumitra Chatterjee, hence named his son Soumitra.;HindSwaraj5;HindSwaraj;en;2021-06-11 14:18:27;Soumitra Chatterjee
1403324503393017857;Hear live from PARAMBRATA CHATTOPADHYAY, Director of ABHIJAAN, a beautiful and tender biopic paying tribute to a le… https://t.co/phVbS9n5C4;bengalhf;Bengal Heritage Foundation🇮🇳🇬🇧;en;2021-06-11 12:13:28;Soumitra Chatterjee
1403173597347205121;RT @frontline_india: BOOKS | There is no dearth of written material on the man whose name is inextricably linked with the works of Satyajit…;Rishiscribe;Rishikesh Bahadur D;en;2021-06-11 02:13:49;Soumitra Chatterjee
1403049321675866117;BOOKS | There is no dearth of written material on the man whose name is inextricably linked with the works of Satya… https://t.co/q1xIyAQ7ra;frontline_india;Frontline;en;2021-06-10 18:00:00;Soumitra Chatterjee
1403018186350481410;"Satyajit Ray's Abhijan (1962), starring Waheeda Rehman and Soumitra Chatterjee, is now streaming on Amazon

Paralle… https://t.co/rEmMMtymSc";loveofcinemasf8;Love of Cinema;en;2021-06-10 15:56:17;Soumitra Chatterjee
1402488250632077315;...here I believe a good bit of the audience was lost. Don't get me wrong - her remarks were poignant and insightfu… https://t.co/m6KUjXFkSq;Satyen_Baindur;Satyen Baindur;en;2021-06-09 04:50:30;Soumitra Chatterjee
1402310869602635776;"RT @mahi_pokkiri: Vijay Kumar 🔥
#Thalapathy65 #ThalapathyVijay #Thalapathy #Vijay @m_gajan @Iam_Jathu @actorvijay https://t.co/yYYr2enTIb";achyuth_venkat;ACHYUTH VENKAT;hi;2021-06-08 17:05:39;Achyuth Kumar
